year,sex,age,mx,qx,source,source_year,estimate_type,estimate_method
2025,Female,71,0.03993091,0.03914417761214328,UN World Population Prospects 2024,2024,Model-based Estimates,Projection
2025,Female,72,0.04424337,0.0432789080741901,UN World Population Prospects 2024,2024,Model-based Estimates,Projection
2025,Female,73,0.04892678,0.04774914904671468,UN World Population Prospects 2024,2024,Model-based Estimates,Projection
2025,Female,74,0.05400359,0.05257129477335876,UN World Population Prospects 2024,2024,Model-based Estimates,Projection
2025,Female,75,0.0595586,0.057819679793270407,UN World Population Prospects 2024,2024,Model-based Estimates,Projection
2025,Female,76,0.06570407,0.063592065507041,UN World Population Prospects 2024,2024,Model-based Estimates,Projection
2025,Female,77,0.07259239,0.07002017814469796,UN World Population Prospects 2024,2024,Model-based Estimates,Projection
2025,Female,78,0.08036766,0.07722298418631512,UN World Population Prospects 2024,2024,Model-based Estimates,Projection
2025,Female,79,0.08911965,0.0852638811501667,UN World Population Prospects 2024,2024,Model-based Estimates,Projection
2025,Female,80,0.09889372,0.09416102452588104,UN World Population Prospects 2024,2024,Model-based Estimates,Projection
2025,Female,81,0.1096386,0.10384205173749705,UN World Population Prospects 2024,2024,Model-based Estimates,Projection
2025,Female,82,0.12126878,0.11420415661291339,UN World Population Prospects 2024,2024,Model-based Estimates,Projection
2025,Female,83,0.13368171,0.12513151781858844,UN World Population Prospects 2024,2024,Model-based Estimates,Projection
2025,Female,84,0.14676996,0.13650740759329538,UN World Population Prospects 2024,2024,Model-based Estimates,Projection
2025,Female,85,0.16048052,0.1482655848032438,UN World Population Prospects 2024,2024,Model-based Estimates,Projection
2025,Female,86,0.17479932,0.16037450009123322,UN World Population Prospects 2024,2024,Model-based Estimates,Projection
2025,Female,87,0.18983102,0.17290111469492386,UN World Population Prospects 2024,2024,Model-based Estimates,Projection
2025,Female,88,0.20577233,0.18598161724704032,UN World Population Prospects 2024,2024,Model-based Estimates,Projection
2025,Female,89,0.22298414,0.19987246078330523,UN World Population Prospects 2024,2024,Model-based Estimates,Projection
2025,Female,90,0.24191923,0.21488041089986876,UN World Population Prospects 2024,2024,Model-based Estimates,Projection
2025,Female,91,0.26306873,0.23131093650378698,UN World Population Prospects 2024,2024,Model-based Estimates,Projection
2025,Female,92,0.28687345,0.24939328789370807,UN World Population Prospects 2024,2024,Model-based Estimates,Projection
2025,Female,93,0.31336787,0.2690190428631042,UN World Population Prospects 2024,2024,Model-based Estimates,Projection
2025,Female,94,0.34230103,0.28986559922857214,UN World Population Prospects 2024,2024,Model-based Estimates,Projection
2025,Female,95,0.37286132,0.3112392564389933,UN World Population Prospects 2024,2024,Model-based Estimates,Projection
2025,Female,96,0.40401588,0.3323664808355359,UN World Population Prospects 2024,2024,Model-based Estimates,Projection
2025,Female,97,0.43485426,0.352640993695053,UN World Population Prospects 2024,2024,Model-based Estimates,Projection
2025,Female,98,0.4646426,0.3716403592016412,UN World Population Prospects 2024,2024,Model-based Estimates,Projection
2025,Female,99,0.49337221,0.3894360312480256,UN World Population Prospects 2024,2024,Model-based Estimates,Projection
